File Name,First Name,Last Name,Address,DOB,input_count,valid count,invalid count,duplicates_in_input_count,duplicates_from_system
PAWNING_TRANSACTION.csv,CUSTOMERFIRSTNAME,CUSTOMERLASTNAME,CUSTOMERADDRESS1,,15330,12414,2,2914,0
DEDUP_DOMESTIC_OUTWARD.csv,RECEIVERFIRSTNAME,RECEIVERLASTNAME,RECEIVERADDRESS1,,175145,169428,19,5692,6
INTERNATIONAL_OUTWARD_TXN_SENDER.csv,CounterPartyFirstName,CounterPartyLastName,CounterPartyAddress1,,7,7,0,0,0
INTERNATIONAL_INWARD_TXN_BENE.csv,BeneficiaryFirstName,BeneficiaryLastName,BeneficiaryAddress1,BeneficiaryBirthDate,43093,42291,6,791,5
CORPORATE_TXN_BENE.csv,BENEFICIARYFIRSTNAME,BENEFICIARYLASTNAME,BENEFICIARYADDRESS1,BENEFICIARYBIRTHDATE,38244,17415,963,19866,0
CORPORATE_TXN_SENDER.csv,COUNTERPARTYFIRSTNAME,COUNTERPARTYLASTNAME,COUNTERPARTYADDRESS1,DOB,38244,33687,54,4501,2
TO_BANK_OUTWARD_TXN_SENDER.csv,COUNTERPARTYFIRSTNAME,COUNTERPARTYLASTNAME,COUNTERPARTYADDRESS1,,734,561,0,173,0
TO_BANK_OUTWARD_TXN_BENE.csv,BENEFICIARYFIRSTNAME,BENEFICIARYLASTNAME,BENEFICIARYADDRESS1,DOB,734,436,0,298,0
MC_BOUGHT_FROM_CUSTOMER.csv,CustomerFirstName,CustomerLastName,CustomerAddress1,,674,649,1,24,0
DEDUP_DOMESTIC_INWARD.csv,SENDERFIRSTNAME,SENDERLASTNAME,SENDERADDRESS1,,179182,165316,27,13834,5
